"script_type","file_size","datetime","finish_process_time","tmp_server_time","complete_time"
"4","33792","2021-05-10 12:17:42","2021-05-10 12:19:18","2021-05-10 12:19:42","2021-05-10 12:21:11"
"1","38912","2021-05-10 15:13:36","2021-05-10 15:14:06","2021-05-10 15:14:30","2021-05-10 15:14:44"
"4","10240","2021-05-12 12:46:27","2021-05-12 12:48:08","2021-05-12 12:48:30","2021-05-12 12:48:33"
"4","70656","2021-05-12 12:47:10","2021-05-12 12:51:59","2021-05-12 12:52:25","2021-05-12 12:52:44"
"5","1024","2021-05-13 12:05:18","2021-05-13 12:05:50","2021-05-13 12:06:11","2021-05-13 12:06:13"
"5","1024","2021-05-13 14:20:18","2021-05-13 14:20:46","2021-05-13 14:21:07","2021-05-13 14:21:08"
"4","2055168","2021-05-13 14:21:01","2021-05-13 14:24:45","2021-05-13 14:28:34","2021-05-13 14:41:03"
"4","7234560","2021-05-13 14:22:51","2021-05-13 14:39:07","2021-05-13 14:48:57","2021-05-13 15:25:22"
"1","1589248","2021-05-13 14:23:29","2021-05-13 14:26:18","2021-05-13 14:29:57","2021-05-13 14:45:22"
"4","133120","2021-05-14 08:06:06","2021-05-14 08:11:44","2021-05-14 08:12:17","2021-05-14 08:17:57"
"4","96256","2021-05-14 12:04:24","2021-05-14 12:07:20","2021-05-14 12:07:50","2021-05-14 12:08:24"
"4","102400","2021-05-16 17:06:33","2021-05-16 17:14:38","2021-05-16 17:15:07","2021-05-16 17:19:28"
"4","101376","2021-05-17 10:34:15","2021-05-17 10:43:13","2021-05-17 10:43:43","2021-05-17 10:47:55"
"2","23552","2021-05-17 11:35:20","2021-05-17 11:35:54","2021-05-17 11:36:16","2021-05-17 11:37:11"
"3","68608","2021-05-17 11:48:42","2021-05-17 11:49:39","2021-05-17 11:50:04","2021-05-17 11:50:24"
"4","1075200","2021-05-19 10:14:46","2021-05-19 10:25:16","2021-05-19 10:26:54","2021-05-19 10:31:57"
"4","5120","2021-05-19 11:25:53","2021-05-19 11:28:44","2021-05-19 11:29:06","2021-05-19 11:29:08"
"1","229376","2021-05-19 11:39:34","2021-05-19 11:40:20","2021-05-19 11:41:01","2021-05-19 11:50:55"
"4","96256","2021-05-19 17:41:12","2021-05-19 17:41:51","2021-05-19 17:42:19","2021-05-19 17:42:48"
"4","1024","2021-05-20 13:03:23","2021-05-20 13:03:43","2021-05-20 13:04:04","2021-05-20 13:04:06"
"2","1024","2021-05-20 13:13:39","2021-05-20 13:14:03","2021-05-20 13:14:24","2021-05-20 13:14:28"
"1","28672","2021-05-20 13:17:50","2021-05-20 13:18:09","2021-05-20 13:18:33","2021-05-20 13:18:44"
"3","116736","2021-05-20 13:19:57","2021-05-20 13:21:24","2021-05-20 13:21:58","2021-05-20 13:28:04"
"4","71680","2021-05-20 13:21:08","2021-05-20 13:21:29","2021-05-20 13:21:59","2021-05-20 13:26:21"
